"2025-08-21 at 16:17"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2025-08-21	16:17:57	1.74003	1.33583	-1.94197e1	5.14736e1	9.90625e1	5.0067901e-4	1.2135148e-2	1.2151124e1	1.4658381e-1	
2025-08-21	16:17:58	1.94555	1.33514	-1.94256e1	5.14736e1	9.90630e1	5.5968761e-4	1.2129545e-2	1.2157839e1	1.4646894e-1	
2025-08-21	16:17:58	1.72689	1.33290	-1.94453e1	5.14703e1	9.90619e1	4.9692392e-4	1.2111008e-2	1.2155320e1	1.4664142e-1	
2025-08-21	16:17:59	1.35971	1.33436	-1.94329e1	5.14736e1	9.90592e1	3.9142370e-4	1.2122631e-2	1.2151124e1	1.4658623e-1	
2025-08-21	16:17:59	1.30934	1.33347	-1.94407e1	5.14703e1	9.90582e1	3.7693977e-4	1.2115299e-2	1.2149446e1	1.4652973e-1	
2025-08-21	16:18:00	1.44593	1.33182	-1.94547e1	5.14703e1	9.90619e1	4.1621923e-4	1.2102067e-2	1.2149446e1	1.4658420e-1	
2025-08-21	16:18:00	1.72214	1.33253	-1.94487e1	5.14736e1	9.90602e1	4.9555301e-4	1.2107670e-2	1.2148606e1	1.4664270e-1	
2025-08-21	16:18:01	1.81001	1.33411	-1.94350e1	5.14736e1	9.90592e1	5.2076578e-4	1.2120604e-2	1.2153642e1	1.4664345e-1	
2025-08-21	16:18:01	1.49241	1.33608	-1.94177e1	5.14736e1	9.90604e1	4.2957067e-4	1.2136995e-2	1.2151124e1	1.4664254e-1	
2025-08-21	16:18:02	1.34084	1.33613	-1.94173e1	5.14736e1	9.90604e1	3.8599967e-4	1.2137413e-2	1.2159518e1	1.4675693e-1	
2025-08-21	16:18:02	1.53162	1.33780	-1.94029e1	5.14703e1	9.90597e1	4.4083595e-4	1.2151241e-2	1.2162874e1	1.4664309e-1	
2025-08-21	16:18:03	1.43877	1.33328	-1.94423e1	5.14736e1	9.90592e1	4.1413307e-4	1.2113749e-2	1.2170428e1	1.4664345e-1	
2025-08-21	16:18:03	1.25078	1.33006	-1.94700e1	5.14736e1	9.90625e1	3.6013126e-4	1.2087523e-2	1.2149446e1	1.4664103e-1	
2025-08-21	16:18:04	1.32356	1.33568	-1.94211e1	5.14670e1	9.90619e1	3.8105249e-4	1.2134075e-2	1.2150285e1	1.4681297e-1	
2025-08-21	16:18:04	1.43209	1.33795	-1.94013e1	5.14736e1	9.90617e1	4.1222572e-4	1.2152612e-2	1.2152802e1	1.4664161e-1	
2025-08-21	16:18:05	1.49624	1.33817	-1.93991e1	5.14736e1	9.90642e1	4.3070316e-4	1.2154698e-2	1.2163714e1	1.4663975e-1	
2025-08-21	16:18:05	1.29074	1.33936	-1.93888e1	5.14736e1	9.90632e1	3.7163496e-4	1.2164473e-2	1.2156161e1	1.4658327e-1	
2025-08-21	16:18:06	1.32501	1.33847	-1.93966e1	5.14736e1	9.90630e1	3.8146972e-4	1.2157082e-2	1.2157839e1	1.4664068e-1	
2025-08-21	16:18:06	1.60736	1.33275	-1.94467e1	5.14736e1	9.90612e1	4.6259164e-4	1.2109577e-2	1.2146089e1	1.4664197e-1	
2025-08-21	16:18:07	1.36565	1.33509	-1.94262e1	5.14736e1	9.90617e1	3.9315223e-4	1.2129008e-2	1.2162035e1	1.4669883e-1	
2025-08-21	16:18:07	1.41174	1.34004	-1.93831e1	5.14736e1	9.90619e1	4.0638446e-4	1.2169897e-2	1.2152802e1	1.4669864e-1	
2025-08-21	16:18:08	1.77695	1.33943	-1.93884e1	5.14703e1	9.90617e1	5.1128864e-4	1.2164950e-2	1.2164553e1	1.4652714e-1	
2025-08-21	16:18:08	1.81713	1.33518	-1.94258e1	5.14736e1	9.90582e1	5.2279233e-4	1.2129306e-2	1.2148606e1	1.4658696e-1	
2025-08-21	16:18:09	1.53666	1.33378	-1.94381e1	5.14769e1	9.90579e1	4.4226646e-4	1.2117564e-2	1.2150285e1	1.4652991e-1	
2025-08-21	16:18:09	1.42807	1.33852	-1.93965e1	5.14736e1	9.90609e1	4.1109323e-4	1.2157201e-2	1.2155320e1	1.4664216e-1	
2025-08-21	16:18:10	1.48827	1.34234	-1.93631e1	5.14736e1	9.90625e1	4.2837858e-4	1.2188971e-2	1.2148606e1	1.4664103e-1	
2025-08-21	16:18:10	1.39987	1.34072	-1.93771e1	5.14769e1	9.90630e1	4.0298700e-4	1.2175559e-2	1.2159518e1	1.4652621e-1	
2025-08-21	16:18:11	1.63480	1.33605	-1.94182e1	5.14670e1	9.90590e1	4.7045946e-4	1.2136816e-2	1.2148606e1	1.4658641e-1	
2025-08-21	16:18:11	1.50500	1.33537	-1.94239e1	5.14670e1	9.90607e1	4.3320655e-4	1.2131392e-2	1.2157000e1	1.4652788e-1	
2025-08-21	16:18:12	1.43016	1.33616	-1.94169e1	5.14703e1	9.90617e1	4.1168928e-4	1.2137949e-2	1.2154481e1	1.4658439e-1	
2025-08-21	16:18:12	1.54120	1.33330	-1.94418e1	5.14703e1	9.90625e1	4.4357776e-4	1.2114346e-2	1.2149446e1	1.4652658e-1	
2025-08-21	16:18:13	1.62592	1.33124	-1.94601e1	5.14736e1	9.90592e1	4.6789646e-4	1.2096881e-2	1.2157000e1	1.4652898e-1	
2025-08-21	16:18:13	1.68759	1.33461	-1.94307e1	5.14802e1	9.90592e1	4.8559904e-4	1.2124478e-2	1.2155320e1	1.4641444e-1	
2025-08-21	16:18:14	1.57836	1.33828	-1.93985e1	5.14769e1	9.90614e1	4.5424699e-4	1.2155175e-2	1.2157839e1	1.4652731e-1	
2025-08-21	16:18:14	1.64665	1.33969	-1.93864e1	5.14736e1	9.90595e1	4.7385692e-4	1.2166738e-2	1.2154481e1	1.4641425e-1	
2025-08-21	16:18:15	1.69059	1.33970	-1.93863e1	5.14736e1	9.90600e1	4.8649311e-4	1.2166857e-2	1.2159518e1	1.4658567e-1	
2025-08-21	16:18:15	1.69376	1.33751	-1.94055e1	5.14769e1	9.90587e1	4.8738718e-4	1.2148499e-2	1.2154481e1	1.4647209e-1	
2025-08-21	16:18:16	1.44762	1.33782	-1.94025e1	5.14736e1	9.90604e1	4.1669607e-4	1.2151420e-2	1.2150285e1	1.4664254e-1	
2025-08-21	16:18:16	1.26369	1.33724	-1.94077e1	5.14703e1	9.90597e1	3.6382675e-4	1.2146592e-2	1.2158678e1	1.4658586e-1	
2025-08-21	16:18:17	1.39285	1.33632	-1.94158e1	5.14703e1	9.90590e1	4.0096044e-4	1.2138903e-2	1.2151124e1	1.4652917e-1	
2025-08-21	16:18:17	1.57455	1.33809	-1.94001e1	5.14703e1	9.90622e1	4.5317411e-4	1.2153923e-2	1.2151124e1	1.4658402e-1	
2025-08-21	16:18:18	1.65096	1.33426	-1.94339e1	5.14703e1	9.90582e1	4.7510862e-4	1.2121796e-2	1.2155320e1	1.4658696e-1	
2025-08-21	16:18:18	1.58705	1.33477	-1.94292e1	5.14703e1	9.90595e1	4.5675039e-4	1.2126207e-2	1.2161196e1	1.4658604e-1	
2025-08-21	16:18:19	1.66379	1.33279	-1.94464e1	5.14736e1	9.90607e1	4.7880411e-4	1.2109816e-2	1.2152802e1	1.4658512e-1	
2025-08-21	16:18:19	1.62776	1.32833	-1.94856e1	5.14703e1	9.90590e1	4.6843290e-4	1.2072861e-2	1.2152802e1	1.4658641e-1	
2025-08-21	16:18:20	1.43294	1.33177	-1.94556e1	5.14703e1	9.90577e1	4.1246414e-4	1.2101173e-2	1.2155320e1	1.4670178e-1	
2025-08-21	16:18:20	1.33149	1.33653	-1.94139e1	5.14703e1	9.90597e1	3.8331747e-4	1.2140750e-2	1.2160357e1	1.4664309e-1	
2025-08-21	16:18:21	1.47235	1.33802	-1.94010e1	5.14703e1	9.90597e1	4.2378902e-4	1.2153029e-2	1.2151124e1	1.4664309e-1	
2025-08-21	16:18:21	1.47786	1.34029	-1.93810e1	5.14703e1	9.90614e1	4.2539834e-4	1.2171983e-2	1.2147767e1	1.4635546e-1	
2025-08-21	16:18:22	1.65283	1.35255	-1.92752e1	5.14703e1	9.90592e1	4.7564506e-4	1.2272894e-2	1.2157000e1	1.4658623e-1	
2025-08-21	16:18:22	1.61306	1.34235	-1.93635e1	5.14736e1	9.90582e1	4.6420097e-4	1.2188553e-2	1.2161196e1	1.4664418e-1	
2025-08-21	16:18:23	1.12521	1.32997	-1.94713e1	5.14703e1	9.90579e1	3.2401084e-4	1.2086331e-2	1.2173784e1	1.4658715e-1	
2025-08-21	16:18:23	1.53440	1.33569	-1.94215e1	5.14703e1	9.90577e1	4.4161081e-4	1.2133538e-2	1.2157839e1	1.4653010e-1	
2025-08-21	16:18:24	1.47192	1.33984	-1.93853e1	5.14703e1	9.90585e1	4.2366981e-4	1.2167930e-2	1.2152802e1	1.4670123e-1	
2025-08-21	16:18:24	1.31881	1.33622	-1.94168e1	5.14703e1	9.90579e1	3.7968158e-4	1.2138009e-2	1.2151963e1	1.4670159e-1	
2025-08-21	16:18:25	1.87497	1.33192	-1.94542e1	5.14703e1	9.90592e1	5.3942203e-4	1.2102603e-2	1.2153642e1	1.4664345e-1	
2025-08-21	16:18:25	1.85193	1.33464	-1.94305e1	5.14670e1	9.90587e1	5.3280591e-4	1.2125134e-2	1.2159518e1	1.4664382e-1	
2025-08-21	16:18:26	1.75201	1.33326	-1.94423e1	5.14703e1	9.90604e1	5.0413608e-4	1.2113809e-2	1.2151124e1	1.4669976e-1	
2025-08-21	16:18:26	1.58560	1.33667	-1.94128e1	5.14769e1	9.90592e1	4.5633316e-4	1.2141585e-2	1.2170428e1	1.4652898e-1	
2025-08-21	16:18:27	1.30826	1.34115	-1.93739e1	5.14769e1	9.90577e1	3.7664175e-4	1.2178480e-2	1.2162874e1	1.4658734e-1	
2025-08-21	16:18:27	1.63646	1.34096	-1.93754e1	5.14769e1	9.90590e1	4.7093629e-4	1.2177050e-2	1.2167071e1	1.4664363e-1	
2025-08-21	16:18:28	1.79989	1.33699	-1.94102e1	5.14769e1	9.90567e1	5.1784515e-4	1.2143969e-2	1.2155320e1	1.4664530e-1	
2025-08-21	16:18:28	1.46920	1.33320	-1.94432e1	5.14736e1	9.90569e1	4.2289495e-4	1.2112796e-2	1.2166231e1	1.4664512e-1	
2025-08-21	16:18:29	1.50882	1.33511	-1.94262e1	5.14769e1	9.90607e1	4.3427944e-4	1.2128889e-2	1.2151124e1	1.4658512e-1	
2025-08-21	16:18:29	1.89168	1.33652	-1.94142e1	5.14802e1	9.90579e1	5.4419040e-4	1.2140095e-2	1.2153642e1	1.4658715e-1	
2025-08-21	16:18:30	1.78472	1.33657	-1.94138e1	5.14769e1	9.90579e1	5.1349401e-4	1.2140631e-2	1.2152802e1	1.4658715e-1	
2025-08-21	16:18:30	1.54308	1.33668	-1.94126e1	5.14736e1	9.90590e1	4.4411420e-4	1.2141823e-2	1.2161196e1	1.4664363e-1	
2025-08-21	16:18:31	1.55720	1.33665	-1.94130e1	5.14769e1	9.90590e1	4.4816732e-4	1.2141406e-2	1.2154481e1	1.4658641e-1	
2025-08-21	16:18:31	1.56988	1.33920	-1.93906e1	5.14769e1	9.90600e1	4.5180320e-4	1.2162625e-2	1.2148606e1	1.4658567e-1	
2025-08-21	16:18:32	1.73466	1.33659	-1.94137e1	5.14769e1	9.90572e1	4.9912929e-4	1.2140691e-2	1.2149446e1	1.4653046e-1	
2025-08-21	16:18:32	1.73964	1.33816	-1.94000e1	5.14703e1	9.90572e1	5.0055980e-4	1.2153923e-2	1.2147767e1	1.4658771e-1	
2025-08-21	16:18:33	1.62715	1.33893	-1.93932e1	5.14703e1	9.90582e1	4.6825408e-4	1.2160360e-2	1.2151124e1	1.4658696e-1	
2025-08-21	16:18:33	1.58997	1.33368	-1.94387e1	5.14736e1	9.90602e1	4.5758485e-4	1.2117147e-2	1.2160357e1	1.4658548e-1	
2025-08-21	16:18:34	1.63697	1.33155	-1.94574e1	5.14802e1	9.90590e1	4.7105550e-4	1.2099146e-2	1.2154481e1	1.4658641e-1	
2025-08-21	16:18:34	1.56325	1.33684	-1.94114e1	5.14736e1	9.90579e1	4.4989585e-4	1.2142956e-2	1.2169588e1	1.4658715e-1	
2025-08-21	16:18:35	1.44592	1.33807	-1.94008e1	5.14670e1	9.90577e1	4.1621923e-4	1.2153327e-2	1.2165392e1	1.4658734e-1	
2025-08-21	16:18:35	1.35097	1.33613	-1.94174e1	5.14703e1	9.90592e1	3.8892030e-4	1.2137413e-2	1.2163714e1	1.4652898e-1	
2025-08-21	16:18:36	1.45244	1.34121	-1.93737e1	5.14736e1	9.90557e1	4.1806697e-4	1.2178838e-2	1.2160357e1	1.4658881e-1	
2025-08-21	16:18:36	1.67060	1.34021	-1.93824e1	5.14736e1	9.90555e1	4.8071146e-4	1.2170553e-2	1.2148606e1	1.4664623e-1	
2025-08-21	16:18:37	1.69399	1.33450	-1.94316e1	5.14736e1	9.90595e1	4.8744678e-4	1.2123823e-2	1.2152802e1	1.4647154e-1	
2025-08-21	16:18:37	1.73297	1.33831	-1.93985e1	5.14736e1	9.90595e1	4.9865245e-4	1.2155294e-2	1.2157000e1	1.4664328e-1	
2025-08-21	16:18:38	1.80243	1.34084	-1.93766e1	5.14769e1	9.90582e1	5.1856040e-4	1.2175917e-2	1.2162035e1	1.4658696e-1	
2025-08-21	16:18:38	1.67464	1.33955	-1.93876e1	5.14769e1	9.90600e1	4.8190355e-4	1.2165486e-2	1.2161196e1	1.4658567e-1	
2025-08-21	16:18:39	1.32606	1.33962	-1.93872e1	5.14736e1	9.90582e1	3.8176774e-4	1.2165963e-2	1.2150285e1	1.4652973e-1	
2025-08-21	16:18:39	1.57424	1.33698	-1.94102e1	5.14703e1	9.90577e1	4.5305490e-4	1.2144207e-2	1.2153642e1	1.4647283e-1	
2025-08-21	16:18:40	1.70078	1.34183	-1.93680e1	5.14703e1	9.90577e1	4.8941373e-4	1.2184321e-2	1.2152802e1	1.4653010e-1	
2025-08-21	16:18:40	1.39603	1.34463	-1.93440e1	5.14736e1	9.90557e1	4.0185451e-4	1.2207031e-2	1.2147767e1	1.4658881e-1	
2025-08-21	16:18:41	1.42071	1.33822	-1.93993e1	5.14736e1	9.90585e1	4.0894746e-4	1.2154459e-2	1.2147767e1	1.4652954e-1	
2025-08-21	16:18:41	1.48938	1.33663	-1.94133e1	5.14736e1	9.90575e1	4.2867660e-4	1.2141168e-2	1.2167071e1	1.4653028e-1	
2025-08-21	16:18:42	1.71718	1.33757	-1.94049e1	5.14703e1	9.90595e1	4.9412250e-4	1.2149274e-2	1.2153642e1	1.4647154e-1	
2025-08-21	16:18:42	1.55717	1.34017	-1.93823e1	5.14703e1	9.90595e1	4.4816732e-4	1.2170791e-2	1.2151124e1	1.4652881e-1	
2025-08-21	16:18:43	1.35098	1.34140	-1.93716e1	5.14703e1	9.90595e1	3.8892030e-4	1.2180984e-2	1.2159518e1	1.4647154e-1	
2025-08-21	16:18:43	1.80691	1.34073	-1.93776e1	5.14703e1	9.90585e1	5.1987171e-4	1.2175261e-2	1.2155320e1	1.4647227e-1	
2025-08-21	16:18:44	1.78692	1.34095	-1.93753e1	5.14703e1	9.90609e1	5.1414966e-4	1.2177407e-2	1.2157000e1	1.4641314e-1	
2025-08-21	16:18:44	1.40161	1.34053	-1.93793e1	5.14769e1	9.90585e1	4.0346384e-4	1.2173414e-2	1.2150285e1	1.4664401e-1	
2025-08-21	16:18:45	1.62333	1.34202	-1.93661e1	5.14736e1	9.90602e1	4.6718120e-4	1.2186050e-2	1.2148606e1	1.4658548e-1	
2025-08-21	16:18:45	1.70847	1.34250	-1.93622e1	5.14736e1	9.90579e1	4.9161911e-4	1.2189745e-2	1.2155320e1	1.4658715e-1	
2025-08-21	16:18:46	1.43186	1.34481	-1.93419e1	5.14769e1	9.90607e1	4.1216611e-4	1.2208998e-2	1.2153642e1	1.4675674e-1	
2025-08-21	16:18:46	1.18073	1.34079	-1.93770e1	5.14802e1	9.90582e1	3.3998489e-4	1.2175440e-2	1.2160357e1	1.4658696e-1	
2025-08-21	16:18:47	1.15126	1.33619	-1.94171e1	5.14736e1	9.90575e1	3.3152103e-4	1.2137532e-2	1.2173784e1	1.4658753e-1	
2025-08-21	16:18:47	1.56701	1.33721	-1.94086e1	5.14703e1	9.90542e1	4.5096874e-4	1.2145698e-2	1.2159518e1	1.4664715e-1	
2025-08-21	16:18:48	1.78675	1.33644	-1.94146e1	5.14736e1	9.90602e1	5.1409006e-4	1.2139976e-2	1.2157000e1	1.4658548e-1	
2025-08-21	16:18:48	1.62797	1.33736	-1.94067e1	5.14736e1	9.90595e1	4.6849250e-4	1.2147426e-2	1.2172106e1	1.4670050e-1	
2025-08-21	16:18:49	1.47000	1.34143	-1.93714e1	5.14703e1	9.90595e1	4.2313337e-4	1.2181162e-2	1.2156161e1	1.4647154e-1	
2025-08-21	16:18:49	1.44655	1.34475	-1.93426e1	5.14703e1	9.90590e1	4.1639804e-4	1.2208521e-2	1.2149446e1	1.4652917e-1	
2025-08-21	16:18:50	1.60497	1.34032	-1.93812e1	5.14769e1	9.90577e1	4.6187639e-4	1.2171566e-2	1.2170428e1	1.4647283e-1	
2025-08-21	16:18:50	1.61429	1.33806	-1.94008e1	5.14736e1	9.90575e1	4.6455860e-4	1.2153029e-2	1.2167071e1	1.4658753e-1	
2025-08-21	16:18:51	1.16116	1.34191	-1.93702e1	5.14736e1	9.90337e1	3.3426284e-4	1.2181937e-2	1.2167071e1	1.5016798e-1	
2025-08-21	16:18:51	1.24677	1.33607	-1.94121e1	5.14769e1	9.91092e1	3.5917758e-4	1.2142717e-2	1.2157839e1	1.4700629e-1	
2025-08-21	16:18:52	1.42279	1.33729	-1.94079e1	5.14703e1	9.90544e1	4.0954351e-4	1.2146353e-2	1.2150285e1	1.4670419e-1	
2025-08-21	16:18:52	1.48769	1.33948	-1.93883e1	5.14703e1	9.90592e1	4.2819976e-4	1.2165069e-2	1.2164553e1	1.4664345e-1	
2025-08-21	16:18:53	1.63694	1.34294	-1.93585e1	5.14736e1	9.90572e1	4.7105550e-4	1.2193262e-2	1.2160357e1	1.4607169e-1	
2025-08-21	16:18:53	1.22166	1.36404	-1.91809e1	5.14736e1	9.90227e1	3.5160779e-4	1.2363016e-2	1.2158678e1	1.4815077e-1	
2025-08-21	16:18:54	1.32278	1.33885	-1.93937e1	5.14736e1	9.90597e1	3.8081407e-4	1.2159824e-2	1.2175463e1	1.4664309e-1	
2025-08-21	16:18:54	1.76836	1.32033	-1.95564e1	5.14736e1	9.90537e1	5.0878524e-4	1.2005925e-2	1.2152802e1	1.4664752e-1	
